 0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00
 0.1464888467886403E-08    0.1241931263110722E-13   -0.5641355140831652E-19
 0.3004883373589934E-08    0.5225690457691592E-13   -0.4869141317021225E-18
 0.4623835506522379E-08    0.1237351800071170E-12   -0.7482839590075081E-18
 0.6325793090290573E-08    0.2315892575260881E-12   -0.1865415599940128E-17
 0.8115011905364052E-08    0.3811244135752033E-12   -0.3857832394167528E-17
 0.9995965930742960E-08    0.5782797463985434E-12   -0.7186010441595409E-17
 0.1197335853123594E-07    0.8296987245486706E-12   -0.1233273277301594E-16
 0.1405213421832203E-07    0.1142807355488929E-11   -0.1992647806364336E-16
 0.1623749101400485E-07    0.1525900784170141E-11   -0.3073763123186454E-16
 0.1853489344857512E-07    0.1988239220053052E-11   -0.4571337270324429E-16
 0.2095008622478276E-07    0.2540154184373049E-11   -0.6601011506358723E-16
 0.2348910858258601E-07    0.3193166175152148E-11   -0.9303414981919295E-16
 0.2615830940039708E-07    0.3960114963191032E-11   -0.1284890932596293E-15
 0.2896436307058510E-07    0.4855303860589351E-11   -0.1744319733773234E-15
 0.3191428618893363E-07    0.5894659445104017E-11   -0.2333392276930840E-15
 0.3501545509978486E-07    0.7095908380352706E-11   -0.3081843691504181E-15
 0.3827562434074268E-07    0.8478773145102959E-11   -0.4025292838835085E-15
 0.4170294603305579E-07    0.1006518867636479E-10   -0.5206314888419522E-15
 0.4530599026616714E-07    0.1187954214266634E-10   -0.6675700535129941E-15
 0.4909376652740141E-07    0.1394893829785390E-10   -0.8493933468641085E-15
 0.5307574623037623E-07    0.1630349312437074E-10   -0.1073292294418385E-14
 0.5726188639846966E-07    0.1897665876082619E-10   -0.1347803444945645E-14
 0.6166265456256494E-07    0.2200558302463794E-10   -0.1683046858749611E-14
 0.6628905493533010E-07    0.2543150718978196E-10   -0.2091004661801022E-14
 0.7115265592748138E-07    0.2930020606572288E-10   -0.2585847076872957E-14
 0.7626561907483577E-07    0.3366247485029183E-10   -0.3184313870267830E-14
 0.8164072944848522E-07    0.3857466770090812E-10   -0.3906160463829754E-14
 0.8729142762413383E-07    0.4409929348983495E-10   -0.4774679489068495E-14
 0.9323184329053795E-07    0.5030567478534349E-10   -0.5817310336912714E-14
 0.9947683058108790E-07    0.5727067673751088E-10   -0.7066351324781863E-14
 0.1060420052168787E-06    0.6507951325127853E-10   -0.8559791509075576E-14
 0.1129437835541465E-06    0.7382663860740445E-10   -0.1034228197141741E-13
 0.1201994236337104E-06    0.8361673355185410E-10   -0.1246626966503783E-13
 0.1278270683350633E-06    0.9456579582460467E-10   -0.1499332069813487E-13
 0.1358457907430214E-06    0.1068023461493153E-09   -0.1799566434073569E-13
 0.1442756418403704E-06    0.1204687618663628E-09   -0.2155799417109197E-13
 0.1531377006457672E-06    0.1357227516749943E-09   -0.2577956874442661E-13
 0.1624541269222654E-06    0.1527389863686618E-09   -0.3077666110678482E-13
 0.1722482165882662E-06    0.1717109020151888E-09   -0.3668541454853655E-13
 0.1825444599694479E-06    0.1928526937659713E-09   -0.4366517137933578E-13
 0.1933686030373371E-06    0.2164015203933097E-09   -0.5190235242344622E-13
 0.2047477117876480E-06    0.2426199417713560E-09   -0.6161497762940340E-13
 0.2167102399193693E-06    0.2717986138552689E-09   -0.7305793295054468E-13
 0.2292860999838330E-06    0.3042592682984092E-09   -0.8652910581824907E-13
 0.2425067381816732E-06    0.3403580067046614E-09   -0.1023765314888241E-12
 0.2564052129947074E-06    0.3804889426708826E-09   -0.1210067157507997E-12
 0.2710162778493604E-06    0.4250882282646335E-09   -0.1428943264600099E-12
 0.2863764680183328E-06    0.4746385054397287E-09   -0.1685934777371650E-12
 0.3025241919778125E-06    0.5296738271553364E-09   -0.1987508671297163E-12
 0.3194998274486721E-06    0.5907850976761076E-09   -0.2341210684332963E-12
 0.3373458223618025E-06    0.6586260867381972E-09   -0.2755843321507138E-12
 0.3561068010000500E-06    0.7339200780212943E-09   -0.3241673028549108E-12
 0.3758296755821676E-06    0.8174672187274559E-09   -0.3810671293165498E-12
 0.3965637635677972E-06    0.9101526440972898E-09   -0.4476795206648756E-12
 0.4183609109768069E-06    0.1012955458463303E-08   -0.5256313918276695E-12
 0.4412756220313464E-06    0.1126958663026693E-08   -0.6168188460787998E-12
 0.4653651954447920E-06    0.1253360130033504E-08   -0.7234513640802483E-12
 0.4906898676983756E-06    0.1393484733513848E-08   -0.8481032100893734E-12
 0.5173129636637640E-06    0.1548797758338722E-08   -0.9937732302114820E-12
 0.5453010549482219E-06    0.1720919722158877E-08   -0.1163954408425592E-11
 0.5747241263583063E-06    0.1911642758947310E-08   -0.1362714767917530E-11
 0.6056557508983357E-06    0.2122948728512943E-08   -0.1594791463032572E-11
 0.6381732737412239E-06    0.2357029233644332E-08   -0.1865700206741533E-11
 0.6723580056316995E-06    0.2616307745651984E-08   -0.2181862526667879E-11
 0.7082954262055200E-06    0.2903464060196840E-08   -0.2550753747321486E-11
 0.7460753977330867E-06    0.3221461328632232E-08   -0.2981075066364409E-11
 0.7857923898219268E-06    0.3573575935880222E-08   -0.3482953639121282E-11
 0.8275457156399195E-06    0.3963430524368791E-08   -0.4068175220476498E-11
 0.8714397802499461E-06    0.4395030495058525E-08   -0.4750454651113538E-11
 0.9175843416769288E-06    0.4872804351401341E-08   -0.5545750332398027E-11
 0.9660947853600637E-06    0.5401648290547027E-08   -0.6472629830440175E-11
 0.1017092412676520E-05    0.5986975488630467E-08   -0.7552694907465021E-11
