 0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00
 0.1464888467886403E-08    0.1456197263602848E-21    0.3068493907511788E-16
 0.3004883373589934E-08    0.1256866486221642E-20    0.1291134204304160E-15
 0.4623835506522379E-08    0.4376419627297659E-20    0.3057179197053640E-15
 0.6325793090290573E-08    0.1119613949018076E-19    0.5721977018735639E-15
 0.8115011905364052E-08    0.2362101004858644E-19    0.9416607455275115E-15
 0.9995965930742960E-08    0.3669646369308638E-20    0.1428781055992882E-14
 0.1197335853123594E-07    0.4968503462191869E-19    0.2049972912429389E-14
 0.1405213421832203E-07    0.3925008396207559E-19    0.2823584100583526E-14
 0.1623749101400485E-07    0.8997989217195314E-19    0.3770109790862550E-14
 0.1853489344857512E-07    0.1110095733783736E-18    0.4912429578758798E-14
 0.2095008622478276E-07    0.1768830385034467E-18    0.6276070021130040E-14
 0.2348910858258601E-07    0.2356149928177759E-18    0.7889495304473459E-14
 0.2615830940039708E-07    0.3358136579555946E-18    0.9784429216145101E-14
 0.2896436307058510E-07    0.4475931916743987E-18    0.1199621157736470E-13
 0.3191428618893363E-07    0.6045880804818420E-18    0.1456419287605082E-13
 0.3501545509978486E-07    0.7942387026166622E-18    0.1753217115826026E-13
 0.3827562434074268E-07    0.1040154586314716E-17    0.2094887561496656E-13
 0.4170294603305579E-07    0.1343349793093637E-17    0.2486850185261510E-13
 0.4530599026616714E-07    0.1723744825224493E-17    0.2935130431754665E-13
 0.4909376652740141E-07    0.2192295197073020E-17    0.3446425190929846E-13
 0.5307574623037623E-07    0.2770765363609120E-17    0.4028175350341045E-13
 0.5726188639846966E-07    0.3478983902887503E-17    0.4688646076247274E-13
 0.6166265456256494E-07    0.4344578685068242E-17    0.5437015642344491E-13
 0.6628905493533010E-07    0.5397469990504067E-17    0.6283473710629957E-13
 0.7115265592748138E-07    0.6674897009635028E-17    0.7239330063522691E-13
 0.7626561907483577E-07    0.8219642137658869E-17    0.8317134892729891E-13
 0.8164072944848522E-07    0.1008297421378123E-16    0.9530811866469879E-13
 0.8729142762413383E-07    0.1232484093845966E-16    0.1089580532524580E-12
 0.9323184329053795E-07    0.1501618653509545E-16    0.1242924309925461E-12
