 0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00
 0.1464888467886403E-08   -0.7172370745846095E-15   -0.7409178093256673E-18
 0.3004883373589934E-08    0.5219752683727400E-16   -0.2164609290367841E-17
 0.4623835506522379E-08    0.1243083922162005E-15   -0.7326018715843379E-18
 0.6325793090290573E-08    0.2366825057857840E-15   -0.3730424552089100E-18
 0.8115011905364052E-08    0.3933766038257244E-15   -0.2241559441718256E-18
 0.9995965930742960E-08    0.6009982121728364E-15   -0.1498068825352717E-18
 0.1197335853123594E-07    0.8668432939753821E-15   -0.1126383971224613E-18
 0.1405213421832203E-07    0.1198901650346432E-14   -0.9283343357395632E-19
 0.1623749101400485E-07    0.1606231429966454E-14   -0.8634484534373657E-19
 0.1853489344857512E-07    0.2098896556996623E-14   -0.8998703567308627E-19
 0.2095008622478276E-07    0.2688141199403005E-14   -0.1029056069220707E-18
 0.2348910858258601E-07    0.3386508751937133E-14   -0.1255250581352220E-18
 0.2615830940039708E-07    0.4207987234735648E-14   -0.1588585948818916E-18
 0.2896436307058510E-07    0.5168168333972872E-14   -0.2047356211096902E-18
 0.3191428618893363E-07    0.6284423602124548E-14   -0.2654786007712910E-18
 0.3501545509978486E-07    0.7576099636445569E-14   -0.3441486068214805E-18
 0.3827562434074268E-07    0.9064734176011099E-14   -0.4444479117244325E-18
 0.4170294603305579E-07    0.1077429539587738E-13   -0.5709282659895296E-18
 0.4530599026616714E-07    0.1273144686328117E-13   -0.7290434161417482E-18
 0.4909376652740141E-07    0.1496584089551443E-13   -0.9253463679671797E-18
 0.5307574623037623E-07    0.1751044334489613E-13   -0.1167648499715698E-17
 0.5726188639846966E-07    0.2040189315718655E-13   -0.1465254468529378E-17
 0.6166265456256494E-07    0.2368090040387354E-13   -0.1829211962373827E-17
 0.6628905493533010E-07    0.2739268688049220E-13   -0.2272623071501756E-17
 0.7115265592748138E-07    0.3158747379668762E-13   -0.2810998522215025E-17
 0.7626561907483577E-07    0.3632102156321217E-13   -0.3462680127059416E-17
 0.8164072944848522E-07    0.4165522721108034E-13   -0.4249331319852339E-17
 0.8729142762413383E-07    0.4765878556442913E-13   -0.5196513593524233E-17
 0.9323184329053795E-07    0.5440792093712491E-13   -0.6334359614848249E-17
 0.9947683058108790E-07    0.6198719684005074E-13   -0.7698360823360201E-17
 0.1060420052168787E-06    0.7049041197912803E-13   -0.9330287654845035E-17
 0.1129437835541465E-06    0.8002159170048624E-13   -0.1127926490620181E-16
 0.1201994236337104E-06    0.9069608500897770E-13   -0.1360302768043406E-16
 0.1278270683350633E-06    0.1026417783586105E-12   -0.1636938805407157E-16
 0.1358457907430214E-06    0.1160004385981621E-12   -0.1965794726410038E-16
 0.1442756418403704E-06    0.1309291987669927E-12   -0.2356209410503884E-16
 0.1531377006457672E-06    0.1476022018851318E-12   -0.2819133685447252E-16
 0.1624541269222654E-06    0.1662124194843618E-12   -0.3367402383059653E-16
 0.1722482165882662E-06    0.1869736634001010E-12   -0.4016051674730806E-16
 0.1825444599694479E-06    0.2101228113025501E-12   -0.4782689155075737E-16
 0.1933686030373371E-06    0.2359222686134840E-12   -0.5687925368001161E-16
 0.2047477117876480E-06    0.2646626918506409E-12   -0.6755876894585033E-16
 0.2167102399193693E-06    0.2966660010911264E-12   -0.8014752780571378E-16
 0.2292860999838330E-06    0.3322887121759210E-12   -0.9497538010270709E-16
 0.2425067381816732E-06    0.3719256225147661E-12   -0.1124278997788501E-15
 0.2564052129947074E-06    0.4160138879333029E-12   -0.1329556651752804E-15
 0.2710162778493604E-06    0.4650375319678165E-12   -0.1570850708980064E-15
 0.2863764680183328E-06    0.5195324333868336E-12   -0.1854309225428593E-15
 0.3025241919778125E-06    0.5800918425627492E-12   -0.2187111066536437E-15
 0.3194998274486721E-06    0.6473724826762890E-12   -0.2577636760639041E-15
 0.3373458223618025E-06    0.7221012976462166E-12   -0.3035667463366575E-15
 0.3561068010000500E-06    0.8050829152286820E-12   -0.3572616636422723E-15
 0.3758296755821676E-06    0.8972079009704393E-12   -0.4201799795676876E-15
 0.3965637635677972E-06    0.9994618866946352E-12   -0.4938748557478344E-15
