 0.0000000000000000E+00    0.0000000000000000E+00    0.0000000000000000E+00
 0.1464888467886403E-08    0.2014203249407003E-21    0.4246486407172571E-16
 0.3004883373589934E-08    0.1738490135395837E-20    0.1786799652751833E-15
 0.4623835506522379E-08    0.2673853765454397E-20    0.4230901175554157E-15
 0.6325793090290573E-08    0.6659768696122778E-20    0.7918822606816386E-15
 0.8115011905364052E-08    0.1377526612407222E-19    0.1303199016789677E-14
 0.9995965930742960E-08    0.2565834231648860E-19    0.1977348430773106E-14
 0.1197335853123594E-07    0.4403522648287342E-19    0.2837047379374469E-14
 0.1405213421832203E-07    0.7114930094702828E-19    0.3907688563787610E-14
 0.1623749101400485E-07    0.1097514451259459E-18    0.5217636636870530E-14
 0.1853489344857512E-07    0.1632236039383425E-18    0.6798556227313483E-14
 0.2095008622478276E-07    0.2356948891545515E-18    0.8685775245722792E-14
 0.2348910858258601E-07    0.3321865818819177E-18    0.1091868723450221E-13
 0.2615830940039708E-07    0.4587816243065516E-18    0.1354119690845087E-13
 0.2896436307058510E-07    0.6228248354257278E-18    0.1660221347373858E-13
 0.3191428618893363E-07    0.8331585899231407E-18    0.2015619679736706E-13
 0.3501545509978486E-07    0.1100400120719751E-17    0.2426376203509889E-13
 0.3827562434074268E-07    0.1437267513554564E-17    0.2899234891816743E-13
 0.4170294603305579E-07    0.1858962680541807E-17    0.3441696255384311E-13
 0.4530599026616714E-07    0.2383620979614020E-17    0.4062099331869365E-13
 0.4909376652740141E-07    0.3032838761709851E-17    0.4769712422340323E-13
 0.5307574623037623E-07    0.3832292006445288E-17    0.5574833501233265E-13
 0.5726188639846966E-07    0.4812461395614246E-17    0.6488901323848612E-13
 0.6166265456256494E-07    0.6009481722554430E-17    0.7524618363500176E-13
 0.6628905493533010E-07    0.7466136503292657E-17    0.8696086829854375E-13
 0.7115265592748138E-07    0.9233022111020582E-17    0.1001895915200208E-12
 0.7626561907483577E-07    0.1136990977860069E-16    0.1151060445571257E-12
 0.8164072944848522E-07    0.1394733849719182E-16    0.1319029272559195E-12
 0.8729142762413383E-07    0.1704847729053568E-16    0.1507939852112335E-12
 0.9323184329053795E-07    0.2077130168933144E-16    0.1720162631259139E-12
 0.9947683058108790E-07    0.2523113661421400E-16    0.1958325972066337E-12
 0.1060420052168787E-06    0.3056362646862651E-16    0.2225343718409684E-12
 0.1129437835541465E-06    0.3692820324138646E-16    0.2524445684608212E-12
 0.1201994236337104E-06    0.4451213505207403E-16    0.2859211374377206E-12
 0.1278270683350633E-06    0.5353525110684947E-16    0.3233607271055068E-12
 0.1358457907430214E-06    0.6425545477754543E-16    0.3652028075980025E-12
 0.1442756418403704E-06    0.7697515483280052E-16    0.4119342311594517E-12
 0.1531377006457672E-06    0.9204876615499716E-16    0.4640942749735712E-12
 0.1624541269222654E-06    0.1098914560571879E-15    0.5222802174069542E-12
 0.1722482165882662E-06    0.1309893411353726E-15    0.5871535039229066E-12
 0.1825444599694479E-06    0.1559113731105460E-15    0.6594465648462384E-12
 0.1933686030373371E-06    0.1853231910956679E-15    0.7399703537074785E-12
 0.2047477117876480E-06    0.2200032630528897E-15    0.8296226821319542E-12
 0.2167102399193693E-06    0.2608616919178456E-15    0.9293974352377299E-12
 0.2292860999838330E-06    0.3089621231598608E-15    0.1040394760346580E-11
 0.2425067381816732E-06    0.3655472618133849E-15    0.1163832331582559E-11
 0.2564052129947074E-06    0.4320685898767858E-15    0.1301057803731156E-11
 0.2710162778493604E-06    0.5102209713125205E-15    0.1453562580666579E-11
 0.2863764680183328E-06    0.6019829438856921E-15    0.1622997036845028E-11
 0.3025241919778125E-06    0.7096636272888998E-15    0.1811187344939742E-11
 0.3194998274486721E-06    0.8359573283752367E-15    0.2020154078805400E-11
 0.3373458223618025E-06    0.9840071002924537E-15    0.2252132778766102E-11
 0.3561068010000500E-06    0.1157478716870572E-14    0.2509596685901210E-11
 0.3758296755821676E-06    0.1360646761400285E-14    0.2795281873753560E-11
 0.3965637635677972E-06    0.1598494805339703E-14    0.3112215029922909E-11
 0.4183609109768069E-06    0.1876831973764932E-14    0.3463744166574322E-11
 0.4412756220313464E-06    0.2202428567813123E-14    0.3853572568252699E-11
 0.4653651954447920E-06    0.2583173848411311E-14    0.4285796317844383E-11
 0.4906898676983756E-06    0.3028259590066918E-14    0.4764945777389784E-11
 0.5173129636637640E-06    0.3548393599834298E-14    0.5296031440085767E-11
 0.5453010549482219E-06    0.4156048078033356E-14    0.5884594613620095E-11
 0.5747241263583063E-06    0.4865748489296952E-14    0.6536763443390510E-11
 0.6056557508983357E-06    0.5694409532975765E-14    0.7259314837662389E-11
 0.6381732737412239E-06    0.6661725871644826E-14    0.8059742915846796E-11
 0.6723580056316995E-06    0.7790626519616648E-14    0.8946334666426084E-11
 0.7082954262055200E-06    0.9107803238068059E-14    0.9928253573271019E-11
 0.7460753977330867E-06    0.1064432496227515E-13    0.1101563204890356E-10
 0.7857923898219268E-06    0.1243635223744909E-13    0.1221967360146085E-10
 0.8275457156399195E-06    0.1452596790683940E-13    0.1355276575959077E-10
 0.8714397802499461E-06    0.1696214293031171E-13    0.1502860488723139E-10
 0.9175843416769288E-06    0.1980185927298922E-13    0.1666233413927309E-10
 0.9660947853600637E-06    0.2311141536086204E-13    0.1847069594066136E-10
 0.1017092412676520E-05    0.2696794373378451E-13    0.2047220051688590E-10
 0.1070704744258067E-05    0.3146117532923903E-13    0.2268731216446907E-10
 0.1127065838859076E-05    0.3669549041096353E-13    0.2513865512761753E-10
